iteration,time,bestobj
927,8.70259,24939
928,8.71025,24939
929,8.71738,24939
930,8.72427,24939
931,8.73135,24939
932,8.73937,24939
933,8.74622,24939
934,8.75314,24939
935,8.76001,24939
936,8.76675,24939
937,8.77353,24939
938,8.78048,24939
939,8.78752,24939
940,8.79422,24939
941,8.80095,24939
942,8.80777,24939
943,8.81457,24939
944,8.82148,24939
945,8.82837,24939
946,8.8356,24939
947,8.84251,24939
948,8.8495,24939
949,8.85634,24939
950,8.86333,24939
951,8.87018,24939
952,8.87726,24939
953,8.88404,24939
954,8.89106,24939
955,8.89792,24939
956,8.9049,24939
957,8.91182,24939
958,8.91875,24939
959,8.92575,24939
960,8.93238,24939
961,8.93919,24939
962,8.95084,24939
963,8.95926,24939
964,8.96628,24939
965,8.97333,24939
966,8.98025,24939
967,8.98705,24939
968,8.99405,24939
969,9.00097,24939
970,9.00808,24939
971,9.01485,24939
972,9.02193,24939
973,9.02894,24939
974,9.03582,24939
975,9.043,24939
976,9.05022,24939
977,9.05814,24939
978,9.06514,24939
979,9.07226,24939
980,9.07911,24939
981,9.08615,24939
982,9.09309,24939
983,9.1001,24939
984,9.10697,24939
985,9.11393,24939
986,9.12074,24939
987,9.12763,24939
988,9.13793,24939
989,9.14866,24939
990,9.15737,24939
991,9.1645,24939
992,9.17158,24939
993,9.17834,24939
994,9.18506,24939
995,9.19183,24939
996,9.19872,24939
997,9.2056,24939
998,9.21257,24939
999,9.21948,24939
1000,9.22651,24939
1001,9.23334,24939
1002,9.24202,24939
1003,9.24918,24939
1004,9.25612,24939
1005,9.26309,24939
1006,9.26991,24939
1007,9.27684,24939
1008,9.28371,24939
1009,9.29057,24939
1010,9.29772,24939
1011,9.3045,24939
1012,9.31121,24939
1013,9.31804,24939
1014,9.32498,24939
1015,9.33193,24939
1016,9.33874,24939
1017,9.3459,24939
1018,9.35276,24939
1019,9.35976,24939
1020,9.36677,24939
1021,9.37479,24939
1022,9.38177,24939
1023,9.38865,24939
1024,9.40011,24939
1025,9.409,24939
1026,9.41592,24939
1027,9.42305,24939
1028,9.42999,24939
1029,9.43698,24939
1030,9.44384,24939
1031,9.45089,24939
1032,9.45799,24939
1033,9.46475,24939
1034,9.47158,24939
1035,9.47859,24939
1036,9.48546,24939
1037,9.49248,24939
1038,9.5029,24939
1039,9.51338,24939
1040,9.52184,24939
1041,9.52898,24939
1042,9.53584,24939
1043,9.54298,24939
1044,9.54967,24939
1045,9.55639,24939
1046,9.56342,24939
1047,9.57006,24939
1048,9.57704,24939
1049,9.58394,24939
1050,9.59251,24939
1051,9.59931,24939
1052,9.60622,24939
1053,9.61311,24939
1054,9.61975,24939
1055,9.62676,24939
1056,9.6334,24939
1057,9.64055,24939
1058,9.64756,24939
1059,9.65498,24939
1060,9.66169,24939
1061,9.66853,24939
1062,9.67535,24939
1063,9.68212,24939
1064,9.68898,24939
1065,9.69577,24939
1066,9.70314,24939
1067,9.71306,24939
1068,9.72021,24939
1069,9.72733,24939
1070,9.73418,24939
1071,9.74109,24939
1072,9.748,24939
1073,9.75507,24939
1074,9.76198,24939
1075,9.76887,24939
1076,9.77573,24939
1077,9.78259,24939
1078,9.78912,24939
1079,9.79604,24939
1080,9.8029,24939
1081,9.80984,24939
1082,9.8169,24939
1083,9.82367,24939
1084,9.83045,24939
1085,9.83712,24939
1086,9.84408,24939
1087,9.85207,24939
1088,9.85965,24939
1089,9.86649,24939
1090,9.87328,24939
1091,9.88011,24939
1092,9.8869,24939
1093,9.89393,24939
1094,9.90074,24939
1095,9.90774,24939
1096,9.91472,24939
1097,9.92165,24939
1098,9.92849,24939
1099,9.93524,24939
1100,9.94196,24939
1101,9.94882,24939
1102,9.95586,24939
1103,9.96277,24939
1104,9.96958,24939
1105,9.9765,24939
1106,9.98328,24939
1107,9.98986,24939
1108,9.99707,24939
1109,10.0041,24939
1110,10.0115,24939
1111,10.0184,24939
1112,10.0262,24939
1113,10.0332,24939
1114,10.0402,24939
1115,10.0471,24939
1116,10.0541,24939
1117,10.0616,24939
1118,10.0687,24939
1119,10.0756,24939
1120,10.0825,24939
1121,10.0901,24939
1122,10.0974,24939
1123,10.1047,24939
1124,10.1133,24939
1125,10.1207,24939
1126,10.1281,24939
1127,10.1353,24939
1128,10.1426,24939
1129,10.1496,24939
1130,10.1571,24939
1131,10.1644,24939
1132,10.1725,24939
1133,10.1795,24939
1134,10.1866,24939
1135,10.1936,24939
1136,10.2009,24939
1137,10.2113,24939
1138,10.2199,24939
1139,10.2278,24939
1140,10.2352,24939
1141,10.2422,24939
1142,10.2498,24939
1143,10.2572,24939
1144,10.2646,24939
1145,10.2719,24939
1146,10.2788,24939
1147,10.2858,24939
1148,10.2931,24939
1149,10.3004,24939
1150,10.3075,24939
1151,10.3147,24939
1152,10.3216,24939
1153,10.3286,24939
1154,10.3358,24939
1155,10.3428,24939
1156,10.3501,24939
1157,10.3571,24939
1158,10.3639,24939
1159,10.3709,24939
1160,10.3779,24939
1161,10.3851,24939
1162,10.3921,24939
1163,10.3992,24939
1164,10.4063,24939
1165,10.4132,24939
1166,10.4204,24939
1167,10.4274,24939
1168,10.4343,24939
1169,10.4412,24939
1170,10.4481,24939
1171,10.4554,24939
1172,10.4625,24939
1173,10.4696,24939
1174,10.4767,24939
1175,10.4832,24939
1176,10.4908,24939
1177,10.4981,24939
1178,10.5051,24939
1179,10.5123,24939
1180,10.5198,24939
1181,10.5277,24939
1182,10.5351,24939
1183,10.5424,24939
1184,10.5506,24939
1185,10.5577,24939
1186,10.5653,24939
1187,10.5727,24939
1188,10.5797,24939
1189,10.587,24939
1190,10.5941,24939
1191,10.6011,24939
1192,10.6081,24939
1193,10.6158,24939
1194,10.6228,24939
1195,10.6301,24939
1196,10.6373,24939
1197,10.6443,24939
1198,10.6518,24939
1199,10.6592,24939
1200,10.6663,24939
1201,10.6732,24939
1202,10.6804,24939
1203,10.6871,24939
1204,10.6942,24939
1205,10.7017,24939
1206,10.7097,24939
1207,10.72,24939
1208,10.7272,24939
1209,10.7346,24939
1210,10.7415,24939
1211,10.7485,24939
1212,10.7553,24939
1213,10.7621,24939
1214,10.769,24939
1215,10.7759,24939
1216,10.7829,24939
1217,10.7899,24939
1218,10.7969,24939
1219,10.8044,24939
1220,10.8113,24939
1221,10.818,24939
1222,10.8249,24939
1223,10.8319,24939
1224,10.8386,24939
1225,10.8456,24939
1226,10.8525,24939
1227,10.8595,24939
1228,10.8662,24939
1229,10.8731,24939
1230,10.8799,24939
1231,10.8868,24939
1232,10.8935,24939
1233,10.9001,24939
1234,10.907,24939
1235,10.9139,24939
1236,10.9237,24939
1237,10.9314,24939
1238,10.9386,24939
1239,10.9454,24939
1240,10.9522,24939
1241,10.9592,24939
1242,10.9661,24939
1243,10.9732,24939
1244,10.9798,24939
1245,10.9867,24939
1246,10.9937,24939
1247,11.0005,24939
1248,11.0073,24939
1249,11.0139,24939
1250,11.0208,24939
1251,11.0336,24939
1252,11.0466,24939
1253,11.0539,24939
1254,11.0608,24939
1255,11.068,24939
1256,11.075,24939
1257,11.0821,24939
1258,11.0908,24939
1259,11.0979,24939
1260,11.1046,24939
1261,11.1114,24939
1262,11.1183,24939
1263,11.1254,24939
1264,11.1322,24939
1265,11.1391,24939
1266,11.1461,24939
1267,11.153,24939
1268,11.16,24939
1269,11.1669,24939
1270,11.1752,24939
1271,11.1824,24939
1272,11.1894,24939
1273,11.1963,24939
1274,11.2031,24939
1275,11.2123,24939
1276,11.2192,24939
1277,11.2262,24939
1278,11.233,24939
1279,11.2399,24939
1280,11.2468,24939
1281,11.2535,24939
1282,11.2604,24939
1283,11.2673,24939
1284,11.2761,24939
1285,11.2831,24939
1286,11.29,24939
1287,11.2968,24939
1288,11.3036,24939
1289,11.3105,24939
1290,11.3172,24939
1291,11.3242,24939
1292,11.3311,24939
1293,11.3377,24939
1294,11.3445,24939
1295,11.3514,24939
1296,11.3584,24939
1297,11.3651,24939
1298,11.3721,24939
1299,11.3793,24939
1300,11.3863,24939
1301,11.3931,24939
1302,11.4014,24939
1303,11.4084,24939
1304,11.4154,24939
1305,11.4224,24939
1306,11.4298,24939
1307,11.4365,24939
1308,11.4435,24939
1309,11.4504,24939
1310,11.4575,24939
1311,11.4645,24939
1312,11.4713,24939
1313,11.4782,24939
1314,11.4853,24939
1315,11.4923,24939
1316,11.4994,24939
1317,11.5062,24939
1318,11.5129,24939
1319,11.5196,24939
1320,11.5267,24939
1321,11.5337,24939
1322,11.5405,24939
